date,symbol,open,high,low,close,volume
2015-02-25,SPY,101.84,103.4,99.77,101.32,1107753
2015-02-26,SPY,103.13,103.25,102.47,102.54,2522335
2015-02-27,SPY,101.33,101.8,101.27,101.77,2476149
2015-03-02,SPY,100.0,100.5,99.17,99.76,4117814
2015-03-03,SPY,98.4,98.54,98.02,98.49,3867177
2015-03-04,SPY,96.86,97.65,96.55,96.87,2528358
2015-03-05,SPY,97.14,97.23,97.0,97.12,3055945
2015-03-06,SPY,98.14,98.79,97.55,98.01,2077126
2015-03-09,SPY,99.05,99.49,98.97,99.37,3999381
2015-03-10,SPY,99.96,100.86,99.92,100.75,6516965
2015-03-11,SPY,101.03,102.68,100.32,101.94,3009353
2015-03-12,SPY,101.48,102.25,101.45,101.68,2744727
2015-03-13,SPY,100.63,101.84,99.96,100.78,3292382
2015-03-16,SPY,98.72,100.17,97.12,98.55,2876355
2015-03-17,SPY,100.94,101.49,99.19,100.22,8841150
2015-03-18,SPY,100.82,101.11,99.95,100.0,2542580
2015-03-19,SPY,100.06,100.19,99.37,99.44,4714329
2015-03-20,SPY,101.58,101.68,101.14,101.25,2580174
2015-03-23,SPY,99.05,100.15,99.03,99.93,6946974
2015-03-24,SPY,101.9,102.47,100.57,101.24,1813178
2015-03-25,SPY,101.49,102.1,100.14,101.74,3391277
2015-03-26,SPY,100.85,100.89,99.89,100.2,5631407
2015-03-27,SPY,99.56,100.24,99.43,100.14,1062280
2015-03-30,SPY,101.48,102.19,100.51,101.65,2760032
2015-03-31,SPY,102.8,102.93,102.23,102.91,1855501
2015-04-01,SPY,105.08,105.59,104.74,105.27,2536673
2015-04-02,SPY,105.81,105.89,105.44,105.86,2732198
2015-04-03,SPY,111.17,111.34,111.14,111.27,3320207
2015-04-06,SPY,109.51,109.83,109.41,109.79,1373794
2015-04-07,SPY,108.63,109.52,108.49,109.19,5215856
2015-04-08,SPY,109.18,109.47,108.57,109.14,2432892
2015-04-09,SPY,107.21,107.87,106.81,106.87,2484607
2015-04-10,SPY,108.27,110.48,108.09,108.6,4586738
2015-04-13,SPY,110.12,110.5,109.83,110.12,2353131
2015-04-14,SPY,108.91,110.33,108.49,110.21,4431377
2015-04-15,SPY,109.29,109.59,109.01,109.38,3003130
2015-04-16,SPY,106.52,107.09,106.46,106.98,7159123
2015-04-17,SPY,106.05,106.29,104.97,105.77,1850740
2015-04-20,SPY,107.33,107.41,106.87,107.0,4783355
2015-04-21,SPY,106.99,108.0,106.23,106.72,5317417
2015-04-22,SPY,105.72,106.27,105.38,106.09,2707807
2015-04-23,SPY,107.26,107.39,106.75,106.94,5709926
2015-04-24,SPY,107.86,109.04,107.73,108.85,1305326
2015-04-27,SPY,109.95,110.12,108.52,109.32,3630411
2015-04-28,SPY,110.19,110.76,109.1,109.89,4554944
2015-04-29,SPY,112.54,112.62,112.11,112.21,2681634
2015-04-30,SPY,113.07,113.41,112.26,112.56,7360449
2015-05-01,SPY,111.13,112.38,110.35,112.1,8152543
2015-05-04,SPY,112.7,113.48,112.18,113.28,2182301
2015-05-05,SPY,113.51,113.55,112.32,112.9,3846670
2015-05-06,SPY,111.15,112.64,111.04,112.34,2790182
2015-05-07,SPY,114.43,114.54,114.42,114.54,2783297
2015-05-08,SPY,112.84,114.38,112.36,114.1,3647509
2015-05-11,SPY,110.5,110.54,109.6,109.61,8671661
2015-05-12,SPY,109.79,110.31,109.59,110.23,1916828
2015-05-13,SPY,109.09,109.79,108.87,109.63,5489366
2015-05-14,SPY,109.3,109.38,109.13,109.21,3085342
2015-05-15,SPY,110.37,110.54,109.84,110.01,1850851
2015-05-18,SPY,109.11,110.5,108.67,109.79,2235343
2015-05-19,SPY,111.04,111.29,110.16,110.2,2353754
2015-05-20,SPY,106.51,106.93,105.76,106.91,4431301
2015-05-21,SPY,105.5,106.61,103.68,105.45,2146059
2015-05-22,SPY,107.41,107.87,106.94,107.73,3217913
2015-05-25,SPY,108.33,108.62,107.58,107.75,3421515
2015-05-26,SPY,105.63,105.81,104.86,105.1,5974303
2015-05-27,SPY,103.05,104.21,102.9,103.46,2677651
2015-05-28,SPY,102.33,103.57,100.64,101.97,3268822
2015-05-29,SPY,102.56,102.77,102.15,102.18,6714116
2015-06-01,SPY,100.68,101.86,100.29,101.57,2819237
2015-06-02,SPY,101.9,102.03,100.59,100.61,2371190
2015-06-03,SPY,101.82,102.1,99.91,100.67,8757597
2015-06-04,SPY,101.02,101.45,101.0,101.44,1905592
2015-06-05,SPY,101.75,102.01,100.97,101.1,2521643
2015-06-08,SPY,100.58,101.79,99.5,100.28,2063431
2015-06-09,SPY,99.62,99.98,99.35,99.69,6027574
2015-06-10,SPY,100.97,101.51,99.77,100.25,2447254
2015-06-11,SPY,99.8,100.5,99.72,100.29,2985588
2015-06-12,SPY,100.86,101.83,100.36,101.5,3305082
2015-06-15,SPY,99.45,100.62,99.22,99.8,2938280
2015-06-16,SPY,99.47,99.89,98.07,98.68,1869367
2015-06-17,SPY,100.13,100.3,99.85,99.88,11098176
2015-06-18,SPY,97.84,98.91,97.77,98.73,6887300
2015-06-19,SPY,100.65,101.65,100.41,100.83,3403775
2015-06-22,SPY,103.51,103.92,102.76,103.0,3713548
2015-06-23,SPY,105.94,105.95,105.09,105.2,2951583
2015-06-24,SPY,103.47,103.99,103.11,103.87,2623058
2015-06-25,SPY,104.13,104.87,103.44,104.04,5963921
2015-06-26,SPY,103.3,103.53,103.03,103.32,2157292
2015-06-29,SPY,105.27,105.97,104.71,104.8,4324419
2015-06-30,SPY,107.48,107.99,106.98,107.54,2555129
2015-07-01,SPY,109.26,109.36,108.84,109.0,2433997
2015-07-02,SPY,108.98,109.66,108.63,109.07,1914663
2015-07-03,SPY,108.21,108.66,108.15,108.53,2822961
2015-07-06,SPY,109.82,110.38,108.37,109.64,5981452
2015-07-07,SPY,107.8,108.66,106.61,107.68,1527589
2015-07-08,SPY,108.63,109.78,108.18,108.6,4361806
2015-07-09,SPY,108.2,108.42,107.1,107.17,6584308
2015-07-10,SPY,107.38,108.62,107.33,108.22,3492528
2015-07-13,SPY,107.9,108.25,107.63,108.01,2497702
2015-07-14,SPY,107.59,107.66,107.38,107.44,937294
2015-07-15,SPY,106.16,106.27,106.05,106.06,3482502
2015-07-16,SPY,106.08,106.52,104.8,105.55,3571489
2015-07-17,SPY,106.8,106.9,104.36,106.48,2561243
2015-07-20,SPY,107.32,108.52,106.44,108.2,3470468
2015-07-21,SPY,109.18,109.23,108.98,109.11,2202990
2015-07-22,SPY,110.78,111.45,110.73,111.4,7921441
2015-07-23,SPY,115.99,116.08,115.66,115.7,1628360
2015-07-24,SPY,115.55,115.91,114.88,115.19,5499096
2015-07-27,SPY,114.14,115.7,113.12,114.89,4203203
2015-07-28,SPY,112.19,112.62,112.03,112.47,4403111
2015-07-29,SPY,115.15,115.65,114.25,114.53,5959561
2015-07-30,SPY,117.02,117.04,116.59,116.82,3764032
2015-07-31,SPY,114.74,115.52,114.63,115.36,3536433
2015-08-03,SPY,116.72,116.72,116.49,116.49,2160394
2015-08-04,SPY,117.98,119.46,117.3,118.67,5788304
2015-08-05,SPY,118.43,120.11,117.3,119.13,3729457
2015-08-06,SPY,120.91,122.17,120.67,120.71,5970476
2015-08-07,SPY,120.1,121.61,119.68,121.09,4060735
2015-08-10,SPY,119.43,119.91,118.55,118.94,2678932
2015-08-11,SPY,121.96,122.34,120.65,120.87,1564194
2015-08-12,SPY,123.19,123.33,123.19,123.33,3375599
2015-08-13,SPY,124.19,125.03,123.95,124.75,3169485
2015-08-14,SPY,121.48,123.67,121.34,123.03,5220503
2015-08-17,SPY,122.46,122.56,121.53,121.7,3976192
2015-08-18,SPY,120.19,120.23,119.65,119.7,2386465
2015-08-19,SPY,121.46,121.99,120.75,121.14,1306152
2015-08-20,SPY,123.63,123.71,123.35,123.51,1552577
2015-08-21,SPY,123.91,124.45,123.91,124.36,1496224
2015-08-24,SPY,126.92,128.27,124.6,126.17,3098171
2015-08-25,SPY,125.78,126.63,123.43,124.59,4766095
2015-08-26,SPY,124.7,124.97,124.51,124.93,2846731
2015-08-27,SPY,122.13,122.9,121.86,122.42,2722606
2015-08-28,SPY,121.53,122.57,120.03,121.07,2183908
2015-08-31,SPY,123.07,123.7,121.1,122.72,3590382
2015-09-01,SPY,122.99,123.89,121.98,122.34,3956946
2015-09-02,SPY,124.96,125.17,124.11,124.62,7357635
2015-09-03,SPY,124.57,126.25,123.94,125.69,2544170
2015-09-04,SPY,130.37,132.36,128.68,130.91,2375839
2015-09-07,SPY,130.71,132.74,129.22,131.16,1537865
2015-09-08,SPY,128.44,128.62,128.07,128.46,2270841
2015-09-09,SPY,128.08,129.57,127.7,128.46,2464523
2015-09-10,SPY,126.88,127.24,126.49,126.67,3509144
2015-09-11,SPY,128.59,130.05,128.24,128.59,5362442
2015-09-14,SPY,128.65,129.25,128.05,128.73,3876049
2015-09-15,SPY,128.26,128.67,127.52,128.53,4989084
2015-09-16,SPY,128.71,128.96,128.28,128.35,2720414
2015-09-17,SPY,131.02,131.24,129.74,129.84,3872635
2015-09-18,SPY,128.16,129.34,127.94,129.03,3633838
2015-09-21,SPY,132.09,133.04,129.66,130.6,2430150
2015-09-22,SPY,133.02,133.32,132.56,132.71,5223423
2015-09-23,SPY,132.5,132.55,131.9,132.1,3390074
2015-09-24,SPY,129.42,130.39,129.2,130.33,4860455
2015-09-25,SPY,128.92,129.9,128.74,129.39,3308308
2015-09-28,SPY,130.79,130.95,130.67,130.83,3651829
2015-09-29,SPY,131.7,134.85,129.27,131.08,1850804
2015-09-30,SPY,132.52,132.54,132.37,132.38,2468469
2015-10-01,SPY,135.69,136.32,134.13,135.95,1987321
2015-10-02,SPY,135.36,138.36,134.09,136.49,2834137
2015-10-05,SPY,133.77,136.11,133.25,134.9,2916313
2015-10-06,SPY,136.14,137.11,135.37,137.11,2664913
2015-10-07,SPY,137.75,137.86,137.2,137.28,3522599
2015-10-08,SPY,139.06,139.2,138.86,139.15,4733633
2015-10-09,SPY,140.39,142.53,139.14,141.44,3099514
2015-10-12,SPY,139.08,139.76,138.65,139.48,5646907
2015-10-13,SPY,142.46,143.86,142.42,142.44,2939604
2015-10-14,SPY,144.44,146.59,142.8,144.44,3791158
2015-10-15,SPY,142.04,143.56,141.74,143.21,3776112
2015-10-16,SPY,142.91,144.6,142.64,143.93,2524191
2015-10-19,SPY,143.99,144.92,143.89,144.56,3677317
2015-10-20,SPY,144.21,145.41,142.53,144.69,1422265
2015-10-21,SPY,147.32,147.33,146.65,146.65,1927695
2015-10-22,SPY,149.2,151.13,149.0,149.89,2555490
2015-10-23,SPY,150.22,150.31,148.76,149.98,4166140
2015-10-26,SPY,152.43,153.73,152.25,153.05,3411080
2015-10-27,SPY,155.56,155.83,155.39,155.39,7166537
2015-10-28,SPY,155.51,156.04,155.47,156.01,2093934
2015-10-29,SPY,154.75,156.73,153.75,156.5,2530170
2015-10-30,SPY,154.99,156.01,152.98,153.87,3295794
2015-11-02,SPY,149.59,150.51,149.49,150.49,2541456
2015-11-03,SPY,150.83,150.94,150.81,150.93,4017034
2015-11-04,SPY,148.97,149.19,148.34,149.07,6308382
2015-11-05,SPY,149.95,150.11,148.93,149.06,1562763
2015-11-06,SPY,148.57,148.91,147.91,147.94,1750308
2015-11-09,SPY,143.03,144.28,142.09,144.04,6325452
2015-11-10,SPY,145.74,145.83,144.76,144.89,2211876
2015-11-11,SPY,144.91,145.94,143.52,144.06,7549189
2015-11-12,SPY,144.69,145.02,143.74,144.3,2774632
2015-11-13,SPY,141.65,142.5,140.96,142.44,5800940
2015-11-16,SPY,140.82,141.87,140.69,141.8,2500281
2015-11-17,SPY,144.42,145.3,144.06,145.19,3195542
2015-11-18,SPY,144.95,146.07,144.1,145.54,7078896
2015-11-19,SPY,146.47,150.06,145.31,146.81,2637832
2015-11-20,SPY,143.62,144.73,141.8,144.09,4452848
2015-11-23,SPY,149.14,149.83,147.47,149.32,1418437
2015-11-24,SPY,154.13,154.21,153.31,153.53,2451128
2015-11-25,SPY,157.29,159.88,153.28,156.74,2880643
2015-11-26,SPY,159.62,159.99,158.04,158.77,5937640
2015-11-27,SPY,159.01,159.67,158.17,158.88,4350077
2015-11-30,SPY,160.89,160.92,159.8,160.02,2477674
2015-12-01,SPY,162.01,164.62,161.42,162.61,6235801
2015-12-02,SPY,162.47,162.57,161.02,161.16,3084020
2015-12-03,SPY,159.46,162.56,158.07,160.17,896086
2015-12-04,SPY,156.9,157.61,156.04,156.24,4762775
2015-12-07,SPY,154.65,154.93,153.17,154.51,6001300
2015-12-08,SPY,158.96,160.81,156.09,158.43,1289514
2015-12-09,SPY,157.27,158.94,157.11,157.72,3606620
2015-12-10,SPY,156.61,157.99,155.99,157.05,5851986
2015-12-11,SPY,158.55,158.56,157.77,157.87,2717727
2015-12-14,SPY,154.41,154.63,154.05,154.13,3825653
2015-12-15,SPY,155.48,157.01,155.37,156.4,4240859
2015-12-16,SPY,157.95,160.31,157.29,159.45,4387746
2015-12-17,SPY,160.7,160.77,160.39,160.43,3558758
2015-12-18,SPY,163.9,164.8,163.56,164.48,1839333
2015-12-21,SPY,162.47,163.01,160.88,161.29,1547111
2015-12-22,SPY,165.93,166.01,165.81,165.83,5712247
2015-12-23,SPY,163.89,165.41,163.07,164.1,11419380
2015-12-24,SPY,161.1,162.93,160.61,161.03,3068071
2015-12-25,SPY,159.93,160.9,159.19,160.54,8591034
2015-12-28,SPY,164.96,165.96,164.51,165.12,5906792
2015-12-29,SPY,165.13,165.64,163.83,165.16,2487887
2015-12-30,SPY,162.71,162.97,162.69,162.93,10803525
2015-12-31,SPY,159.77,160.11,159.72,159.85,1472072
2016-01-01,SPY,159.19,160.25,158.31,159.68,3468060
2016-01-04,SPY,155.89,156.17,154.54,154.98,2939384
2016-01-05,SPY,151.61,152.09,151.56,152.03,1762704
2016-01-06,SPY,155.41,155.8,154.07,155.63,2173786
2016-01-07,SPY,159.6,159.91,158.67,158.79,2270870
2016-01-08,SPY,159.85,160.82,157.48,158.57,3089314
2016-01-11,SPY,157.51,158.38,156.76,157.54,2223979
2016-01-12,SPY,157.91,158.91,157.56,157.76,5794268
2016-01-13,SPY,162.06,163.57,160.54,163.39,3478383
2016-01-14,SPY,164.65,165.54,163.99,164.47,1972650
2016-01-15,SPY,167.49,167.99,166.45,166.79,2681607
2016-01-18,SPY,167.0,167.39,166.13,166.37,5744118
2016-01-19,SPY,167.95,168.01,166.44,166.6,3120514
2016-01-20,SPY,167.32,168.71,167.23,168.3,3102143
2016-01-21,SPY,168.4,169.08,168.19,168.71,2725461
2016-01-22,SPY,163.94,164.06,163.87,163.99,2539535
2016-01-25,SPY,166.5,167.34,166.45,167.22,2987930
2016-01-26,SPY,165.9,166.0,165.51,165.76,4027665
2016-01-27,SPY,170.05,172.19,168.87,171.09,4522983
2016-01-28,SPY,172.8,173.34,172.38,172.94,2391811
2016-01-29,SPY,172.79,174.13,170.97,173.21,2331166
2016-02-01,SPY,173.93,175.6,173.08,174.44,6643300
2016-02-02,SPY,174.9,174.98,173.81,174.24,1731138
2016-02-03,SPY,172.06,173.07,171.96,173.06,1410156
2016-02-04,SPY,174.55,175.79,171.64,173.69,3499283
2016-02-05,SPY,175.83,177.78,171.32,176.08,3434044
2016-02-08,SPY,172.57,175.05,172.48,174.94,6382131
2016-02-09,SPY,173.28,173.7,173.03,173.39,5680052
2016-02-10,SPY,172.53,173.28,171.98,172.56,2885171
2016-02-11,SPY,175.3,175.33,174.56,175.11,6145587
2016-02-12,SPY,179.11,180.68,176.15,179.01,2031663
2016-02-15,SPY,179.72,180.92,179.21,180.07,2279518
2016-02-16,SPY,181.29,182.09,180.27,181.73,1681854
2016-02-17,SPY,180.02,180.18,179.91,180.11,5324552
2016-02-18,SPY,183.46,183.79,182.49,182.56,3112959
2016-02-19,SPY,182.96,184.22,181.37,184.17,8599324
2016-02-22,SPY,183.15,183.31,182.16,182.3,5109552
2016-02-23,SPY,177.23,177.78,176.81,177.5,4719904
2016-02-24,SPY,174.83,174.84,174.33,174.34,1434845
2016-02-25,SPY,172.09,173.72,172.04,172.68,1489887
2016-02-26,SPY,175.9,176.12,175.16,175.77,1393829
2016-02-29,SPY,179.43,179.99,179.3,179.95,2873265
2016-03-01,SPY,179.24,179.41,178.6,178.86,2785028
2016-03-02,SPY,177.55,177.88,177.52,177.85,1437941
2016-03-03,SPY,180.68,182.13,178.04,178.64,11476015
2016-03-04,SPY,178.98,179.03,178.72,178.76,1527946
2016-03-07,SPY,180.79,181.74,179.9,181.35,2135942
2016-03-08,SPY,179.94,182.74,177.96,180.01,6955583
2016-03-09,SPY,182.17,183.13,181.73,182.67,1385357
2016-03-10,SPY,179.46,182.16,179.43,182.1,4393812
2016-03-11,SPY,184.71,185.85,183.13,184.53,2238768
2016-03-14,SPY,181.79,184.25,181.68,183.87,2082135
2016-03-15,SPY,181.13,183.49,179.82,182.27,1272169
2016-03-16,SPY,189.42,189.73,186.77,187.59,3743582
2016-03-17,SPY,189.52,191.63,188.05,190.68,1976236
2016-03-18,SPY,184.42,186.28,183.36,185.65,1130486
2016-03-21,SPY,183.47,185.53,182.61,184.5,3726974
2016-03-22,SPY,188.06,188.91,187.68,187.93,2352775
2016-03-23,SPY,185.76,185.82,184.61,184.65,2462639
2016-03-24,SPY,187.63,187.9,186.27,186.87,9750760
2016-03-25,SPY,188.2,189.42,187.21,188.84,2439653
2016-03-28,SPY,187.23,189.44,185.1,186.95,3160956
2016-03-29,SPY,186.18,188.1,184.54,187.02,3439520
2016-03-30,SPY,182.51,182.57,181.24,181.25,1938437
2016-03-31,SPY,185.3,188.38,182.86,186.15,5222743
2016-04-01,SPY,184.95,186.18,184.2,185.38,1337037
2016-04-04,SPY,189.22,191.09,187.39,187.71,4037169
2016-04-05,SPY,189.34,190.52,187.64,189.53,1351188
2016-04-06,SPY,194.41,194.62,193.32,193.49,1223266
2016-04-07,SPY,192.35,192.4,192.29,192.33,1669356
2016-04-08,SPY,192.91,194.98,191.07,193.01,2418160
2016-04-11,SPY,195.36,195.84,194.66,194.73,4372692
2016-04-12,SPY,197.81,199.0,196.05,197.37,7719062
2016-04-13,SPY,200.99,201.4,198.71,200.89,2780200
2016-04-14,SPY,197.75,199.66,197.21,199.55,2545421
2016-04-15,SPY,197.74,198.15,197.57,197.66,5536983
2016-04-18,SPY,202.16,203.65,200.67,201.8,2668104
2016-04-19,SPY,196.29,197.03,194.72,195.73,3033671
2016-04-20,SPY,200.78,201.7,200.09,200.44,1625659
2016-04-21,SPY,199.95,200.01,197.93,199.63,3010809
2016-04-22,SPY,200.23,201.71,198.23,199.71,6357786
2016-04-25,SPY,198.12,200.69,195.39,197.77,2114046
2016-04-26,SPY,197.66,198.11,196.77,197.73,2712902
2016-04-27,SPY,201.49,203.34,198.03,201.6,2380054
2016-04-28,SPY,205.09,206.59,203.84,204.03,3159519
2016-04-29,SPY,203.38,205.96,203.07,205.64,2764720
2016-05-02,SPY,206.96,207.61,205.76,206.01,2782910
2016-05-03,SPY,202.66,202.86,201.55,201.65,3731393
2016-05-04,SPY,199.12,200.27,197.81,199.2,2589170
2016-05-05,SPY,198.58,199.16,197.97,198.27,1484609
2016-05-06,SPY,200.91,201.06,199.5,199.73,3613638
2016-05-09,SPY,198.77,200.16,198.65,200.04,3865148
2016-05-10,SPY,202.46,203.3,202.45,203.09,3429304
2016-05-11,SPY,204.08,205.06,203.36,204.64,5370678
2016-05-12,SPY,206.34,207.23,203.77,204.91,1926664
2016-05-13,SPY,211.08,212.18,210.18,212.0,2753869
2016-05-16,SPY,213.9,214.16,211.41,213.4,8315336
2016-05-17,SPY,212.87,215.08,211.98,212.12,5333897
2016-05-18,SPY,218.64,219.04,217.26,218.15,3611893
2016-05-19,SPY,222.27,222.3,222.06,222.19,2595562
2016-05-20,SPY,227.6,228.95,226.49,228.35,2596263
2016-05-23,SPY,228.09,228.86,227.96,228.08,7356445
2016-05-24,SPY,232.32,232.77,229.58,231.54,6806827
2016-05-25,SPY,226.03,227.1,224.83,226.61,1290181
2016-05-26,SPY,228.19,230.22,226.86,229.39,3825276
2016-05-27,SPY,229.53,229.57,228.68,228.96,2821692
2016-05-30,SPY,224.97,225.07,224.34,224.42,2055519
2016-05-31,SPY,227.35,228.2,227.21,228.01,2846939
2016-06-01,SPY,221.54,222.36,221.14,221.93,1845425
2016-06-02,SPY,217.13,217.76,214.88,215.67,1739997
2016-06-03,SPY,218.55,219.15,216.87,216.95,5316409
2016-06-06,SPY,220.25,220.5,218.88,218.92,3712811
2016-06-07,SPY,223.55,225.94,219.83,222.22,1894663
2016-06-08,SPY,224.6,226.2,222.97,224.8,3502877
2016-06-09,SPY,228.32,231.4,226.8,229.89,5579290
2016-06-10,SPY,232.58,233.9,231.97,232.42,3086787
2016-06-13,SPY,231.8,232.35,231.62,232.08,2023849
2016-06-14,SPY,233.62,233.92,230.27,231.94,1602281
2016-06-15,SPY,229.67,231.73,228.71,231.07,2893158
2016-06-16,SPY,231.42,232.88,230.45,232.21,2144247
2016-06-17,SPY,229.49,229.5,228.5,228.51,2537522
2016-06-20,SPY,229.46,231.38,228.72,229.79,2547485
2016-06-21,SPY,228.85,230.18,228.48,229.61,1805881
2016-06-22,SPY,230.28,230.71,230.2,230.67,2999415
2016-06-23,SPY,231.91,232.74,230.33,231.75,7944922
2016-06-24,SPY,222.48,223.71,221.83,223.34,4297961
2016-06-27,SPY,219.76,220.67,219.33,220.43,6405647
2016-06-28,SPY,221.7,221.84,219.97,220.18,2792505
2016-06-29,SPY,218.49,222.51,216.91,220.11,2265639
2016-06-30,SPY,220.11,221.83,219.87,221.08,5804958
2016-07-01,SPY,223.34,223.79,222.11,222.19,1820081
2016-07-04,SPY,227.08,229.54,223.38,227.36,3283372
2016-07-05,SPY,228.06,229.42,224.97,228.53,1659425
2016-07-06,SPY,228.3,229.09,227.18,227.58,1693075
2016-07-07,SPY,221.79,223.12,221.2,222.23,1585695
2016-07-08,SPY,216.19,217.91,216.12,217.78,6308492
2016-07-11,SPY,218.99,225.21,214.13,219.64,7836383
2016-07-12,SPY,222.98,223.41,222.58,223.24,12226149
2016-07-13,SPY,228.32,228.73,227.7,228.51,9897297
2016-07-14,SPY,224.58,226.26,224.45,225.79,3479062
2016-07-15,SPY,227.24,228.85,224.42,224.88,2780830
2016-07-18,SPY,226.03,227.12,224.45,225.8,3994168
2016-07-19,SPY,233.97,235.66,232.54,232.85,1742772
2016-07-20,SPY,234.46,235.61,232.32,233.37,4713564
2016-07-21,SPY,237.97,241.69,236.89,238.92,5120546
2016-07-22,SPY,238.84,240.41,237.73,239.65,2253639
2016-07-25,SPY,242.39,243.93,240.29,243.91,2821984
2016-07-26,SPY,248.33,248.74,247.76,247.79,2535037
2016-07-27,SPY,249.72,251.1,245.67,248.53,2678538
2016-07-28,SPY,244.7,247.2,243.23,244.85,4386853
2016-07-29,SPY,244.65,244.89,243.02,243.98,2593140
2016-08-01,SPY,249.71,250.82,248.32,249.56,1814271
2016-08-02,SPY,252.62,253.06,252.56,252.97,1182923
2016-08-03,SPY,250.45,255.08,247.79,251.45,3265904
2016-08-04,SPY,252.27,252.3,250.14,250.28,3496782
2016-08-05,SPY,242.59,244.19,242.44,243.91,3909270
2016-08-08,SPY,248.5,249.44,248.12,249.32,693956
2016-08-09,SPY,252.05,252.93,251.88,252.75,3957271
2016-08-10,SPY,251.32,252.72,250.96,252.36,4379046
2016-08-11,SPY,253.74,253.84,252.66,253.24,2349162
2016-08-12,SPY,244.4,245.8,242.55,245.12,4831110
2016-08-15,SPY,243.78,244.08,242.45,243.46,5452585
2016-08-16,SPY,247.41,249.39,247.28,248.45,6454822
2016-08-17,SPY,252.26,252.33,252.2,252.23,4726787
2016-08-18,SPY,253.2,254.96,251.91,253.61,5982451
2016-08-19,SPY,253.25,253.71,253.21,253.68,5858431
2016-08-22,SPY,257.38,260.45,254.96,256.84,2265635
2016-08-23,SPY,254.75,256.25,254.51,255.88,2519832
2016-08-24,SPY,249.45,249.69,249.38,249.62,2245750
2016-08-25,SPY,249.6,251.04,248.36,249.72,3946166
2016-08-26,SPY,251.04,252.18,248.22,251.36,3177260
2016-08-29,SPY,254.85,256.2,254.68,255.72,5824887
2016-08-30,SPY,250.84,251.62,250.0,250.32,2043447
2016-08-31,SPY,249.95,250.22,249.38,249.98,1682428
2016-09-01,SPY,249.58,250.75,249.12,249.82,5407502
2016-09-02,SPY,245.36,246.18,245.35,245.82,3515382
2016-09-05,SPY,249.59,249.63,247.72,247.74,2153575
2016-09-06,SPY,250.96,251.24,250.58,250.64,7280056
2016-09-07,SPY,248.58,250.14,248.26,249.68,3023175
2016-09-08,SPY,256.45,260.66,253.63,257.5,2832060
2016-09-09,SPY,254.76,256.45,254.68,256.39,3454311
2016-09-12,SPY,253.99,254.9,253.7,254.8,3363400
2016-09-13,SPY,253.64,255.08,252.85,253.11,1937155
2016-09-14,SPY,248.44,251.16,247.6,250.14,2291540
2016-09-15,SPY,248.36,249.47,247.49,248.17,11960918
2016-09-16,SPY,242.41,243.84,240.77,242.96,2554340
2016-09-19,SPY,242.09,243.12,242.08,242.38,4377838
2016-09-20,SPY,241.81,242.93,240.77,242.71,2657280
2016-09-21,SPY,235.24,237.9,232.56,234.52,2588410
